"","nh03","nhGroup","nhTrt","nhHom","nhClass","nhSisben","nhPopD","nhDistCenter","nhQP03","nhPV03","nhTP03","nhBI03","nhCE03","nhNB03","nhMale","nhAgeYoung","nhAgeMid","nhMarDom","nhSepDiv","nhOwn","nhRent","nhEmp","nhAboveHS","nhHS","nhLogHom","BE","CE","PV","QP","TP","hom","nh","year","Group","HomCount2003","Pop2003","HomCount2008","Pop2008"
"414","414","C",0,10.600825,"3",0.089786118,374.4792772,3.617625827,0.342066135,0.524228799,0.832999436,0.727276204,0.621028304,24.38789685,0.5,0.375,0.125,0.25,0,0.625,0.25,0.625,0.375,0.5,2.36093182827809,-0.325755707275135,0.0897786710943124,0.231597303744888,-1.33215707848384,-0.961419621598077,0.0638209731446681,414,2003,"C",10,12346.38381,5,13111.12283
"415","415","C",0,14.3785,"3",0.578786291,266.3283659,3.617625827,0,0.349037565,0.933390968,0.705744827,0.610957132,88.14122652,0.5,0.25,0,0.5,0.25,0.5,0.25,0.25,0,0.5,2.66573403530826,0.0444883201578267,-0.256072054338177,-0.122609077233263,0.726249943359405,-0.755411864541119,0.119603580728909,415,2003,"C",10,6290.011621,6,6679.616985
"801","801","C",0,3.578255,"3",0.151935863,284.4127122,3.580269259,0.277097612,0.196639429,0.701157294,0.773443,0.51789144,22.33957423,0.454545454545455,0.181818181818182,0.363636363636364,0.363636363636364,0,0.636363636363636,0.272727272727273,0.363636363636364,0.363636363636364,0.545454545454545,1.27487525141231,-0.762628040859093,-0.612416926904476,1.47183365699485,0.409681244217088,-0.693133710901295,0.40200816875233,801,2003,"C",4,11240.24712,9,11936.47167
"802","802","C",0,12.10078,"3",0.024606543,314.040543,3.580269259,0.220216006,0.259257697,0.635358065,0.406169016,0.660096543,12.73398774,0.222222222222222,0.333333333333333,0.333333333333333,0.555555555555556,0,1,0,0.222222222222222,0.333333333333333,0.555555555555556,2.49326991333497,0.419108541927978,-1.09530937181187,0.445584353132335,-0.317298646231149,-0.974688574629383,-0.0103089387418588,802,2003,"C",9,7896.282726,1,8385.381044
"803","803","C",0,3.704785,"3",0.050932011,249.0348111,3.580269259,0.275390617,0.34984552,0.736627305,0.61881585,0.585840754,5.334089898,0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,1.30962522737465,-0.00292906309900742,-0.737180105121126,0.70520693218557,-0.836135774161685,-1.38769182922083,0.113402757078645,803,2003,"C",5,9476.999517,5,10064.00795
"807","807","C",0,2.454405,"2",0.67809826,342.4178056,3.580269259,0.233958023,0.419540287,0.55498614,0.561170757,0.53221061,9.174623709,0.45,0.35,0.35,0.4,0,0.7,0.3,0.35,0.2,0.65,0.897884369346483,0.224862151202839,0.174738340766196,-0.395104519378865,-0.580204034645037,0.403230563875192,0.00837105827327285,807,2003,"C",3,16409.51958,2,17425.93056
"808","808","C",0,17.18614,"2",0.634611555,332.5440486,3.580269259,0.193530183,0.235829991,0.699346921,0.467589901,0.462808766,22.1215202,0.363636363636364,0.181818181818182,0.272727272727273,0.272727272727273,0.181818181818182,0.636363636363636,0.272727272727273,0.363636363636364,0.181818181818182,0.454545454545455,2.84410324502334,0.218155555058829,-0.241669953668573,0.212447160157653,-1.348167682231,-0.0515775458565184,-0.0866523845291898,808,2003,"C",22,11400.87423,8,12107.04808
"810","810","C",0,13.79635,"2",0.769846206,365.1696593,3.580269259,0.385180361,0.215007804,0.581854592,0.604925256,0.60363198,9.859674333,0.235294117647059,0.294117647058824,0.294117647058824,0.411764705882353,0.117647058823529,0.647058823529412,0.352941176470588,0.470588235294118,0.0588235294117647,0.352941176470588,2.62440406442516,-0.311329071181839,-0.787030545687561,0.0563168439274055,0.539328085112585,0.0597642097662438,-0.122679559310532,810,2003,"C",16,15325.28658,4,16274.53982
"811","811","C",0,3.887105,"1",0.807313258,434.281756,3.580269259,0.065967997,0.182502693,0.429235166,0.677786907,0.456645511,13.00453988,0.166666666666667,0.0833333333333333,0.583333333333333,0.5,0.166666666666667,0.75,0.25,0.5,0,0.416666666666667,1.3576646646259,0.454514815892566,1.42788166262449,1.33557552922183,1.61593667454111,1.29802230270515,0.106675696126093,811,2003,"C",5,7732.004999,2,8210.927901
"812","812","C",0,9.415605,"1",1,202.0035189,3.580269259,0.364097238,0.079892616,0.69305785,0.796357911,0.628159193,7.8677826,0.333333333333333,0.333333333333333,0.25,0.5,0.0833333333333333,0.75,0.25,0.416666666666667,0,0.583333333333333,2.2423684192055,-0.0743818855247614,-0.367138850988179,1.09733924629823,-1.97570309122494,-0.29370303523226,0.0213692326488031,812,2003,"C",3,6425.084418,1,6823.056235
"813","813","C",0,16.12117,"2",0.957150715,340.1815837,3.580269259,0.26065242,0.262791162,0.701481612,0.750982954,0.530628544,3.477105382,0.272727272727273,0.363636363636364,0.181818181818182,0.363636363636364,0.272727272727273,0.727272727272727,0.181818181818182,0.454545454545455,0,0.545454545454545,2.7801333150898,0.73990362998914,0.0304999467472486,0.736806041231947,-2.47381732925265,-1.79935640700756,0.0979993973230578,813,2003,"C",13,14379.777,8,15270.46506
